Place,Logo,Team,Played,Won,Drawn,Lost,For,Against,Difference,Bonus,Points
1,Exeter,22,17,0,5,630,438,192,18,86
2,Saracens,22,16,0,6,644,440,204,14,78
3,Gloucester,22,13,1,8,587,515,72,14,68
4,Northampton,22,11,0,11,590,521,69,12,56
5,Harlequins,22,10,0,12,544,528,16,16,56
6,Bath,22,10,2,10,481,480,1,12,56
7,Sale,22,11,2,9,462,504,-42,7,55
8,Wasps,22,10,0,12,483,552,-69,11,51
9,Bristol,22,9,1,12,503,580,-77,13,51
10,Worcester,22,9,0,13,491,557,-66,10,46
11,Leicester,22,7,0,15,478,632,-154,13,41
12,Newcastle,22,6,0,16,395,541,-146,7,31
